"Invoice";"InboundDate";"Supplier";"OrderDate";"InvoiceDate"
"FFCC151824";"2015-06-16";"PROV1323";"2015-05-02";"2015-06-19"
"FFCC151825";"2015-06-26";"PROV40000520";"2015-06-21";"2015-06-29"
"FFCC151842";"2015-06-24";"PROV1441";"2015-06-04";"2015-06-27"
"FFCC151843";"2015-06-30";"PROV40000520";"2015-06-25";"2015-07-03"
"FFCC151844";"2015-06-25";"PROV40000187";"2015-05-30";"2015-06-28"
"FFCC151845";"2015-06-11";"PROV40000187";"2015-05-01";"2015-06-14"
"FFCC151846";"2015-06-30";"PROV1558";"2015-06-08";"2015-07-03"
"FFCC151847";"2015-06-30";"PROV1558";"2015-05-30";"2015-07-03"
"FFCC151848";"2015-06-29";"PROV40002330";"2015-05-07";"2015-07-02"
"FFCC151849";"2015-06-22";"PROV40001000";"2015-05-07";"2015-06-25"
"FFCC151850";"2015-06-30";"PROV40002220";"2015-06-10";"2015-07-03"
"FFCC151851";"2015-06-30";"PROV40002065";"2015-05-25";"2015-07-03"
"FFCC151853";"2015-06-05";"PROV1649";"2015-05-01";"2015-06-08"
"FFCC151854";"2015-06-17";"PROV1649";"2015-05-24";"2015-06-20"
"FFCC151855";"2015-06-24";"PROV1014";"2015-05-26";"2015-06-27"
"FFCC151859";"2015-06-26";"PROV41001800";"2015-06-21";"2015-06-29"
"FFCC151860";"2015-06-30";"PROV1216";"2015-05-15";"2015-07-03"
"FFCC151861";"2015-06-30";"PROV1216";"2015-06-14";"2015-07-03"
"FFCC151915";"2015-07-02";"PROV1756";"2015-05-07";"2015-07-05"
"FFCC151916";"2015-07-03";"PROV40000500";"2015-06-02";"2015-07-06"
"FFCC151917";"2015-07-10";"PROV40000500";"2015-07-01";"2015-07-13"
"FFCC151918";"2015-07-15";"PROV1441";"2015-06-12";"2015-07-18"
"FFCC151919";"2015-07-07";"PROV1061";"2015-06-17";"2015-07-10"
"FFCC151920";"2015-07-08";"PROV1061";"2015-05-15";"2015-07-11"
"FFCC151921";"2015-07-11";"PROV1428";"2015-06-24";"2015-07-14"
"FFCC151924";"2015-07-01";"PROV1398";"2015-06-05";"2015-07-04"
"FFCC151927";"2015-07-08";"PROV1585";"2015-06-07";"2015-07-11"
"FFCC151930";"2015-07-17";"PROV40000850";"2015-06-16";"2015-07-20"
"FFCC151931";"2015-07-03";"PROV1428";"2015-05-22";"2015-07-06"
"FFCC151940";"2015-07-01";"PROV1647";"2015-05-30";"2015-07-04"
"FFCC151941";"2015-07-02";"PROV40002220";"2015-06-22";"2015-07-05"
"FFCC151942";"2015-07-10";"PROV1397";"2015-06-22";"2015-07-13"
"FFCC151943";"2015-07-03";"PROV40001825";"2015-06-16";"2015-07-06"
"FFCC151944";"2015-07-06";"PROV1014";"2015-06-01";"2015-07-09"
"FFCC151945";"2015-07-01";"PROV1014";"2015-06-24";"2015-07-04"
"FFCC151948";"2015-07-02";"PROV40001000";"2015-05-13";"2015-07-05"
"FFCC151949";"2015-07-06";"PROV40001000";"2015-05-17";"2015-07-09"
"FFCC151950";"2015-07-03";"PROV1649";"2015-06-06";"2015-07-06"
"FFCC151951";"2015-07-14";"PROV1027";"2015-06-06";"2015-07-17"
"FFCC151952";"2015-07-01";"PROV1027";"2015-05-31";"2015-07-04"
"FFCC151953";"2015-07-10";"PROV40000520";"2015-06-14";"2015-07-13"
"FFCC151954";"2015-07-15";"PROV40001470";"2015-05-29";"2015-07-18"
"FFCC151955";"2015-07-13";"PROV1649";"2015-05-29";"2015-07-16"
"FFCC151956";"2015-07-22";"PROV1649";"2015-06-02";"2015-07-25"
"FFCC151957";"2015-07-08";"PROV1003";"2015-05-23";"2015-07-11"
"FFCC151958";"2015-07-11";"PROV40002330";"2015-06-14";"2015-07-14"
"FFCC151959";"2015-07-15";"PROV1323";"2015-07-04";"2015-07-18"
"FFCC151960";"2015-07-15";"PROV1170";"2015-06-06";"2015-07-18"
"FFCC151961";"2015-07-01";"PROV1845";"2015-05-06";"2015-07-04"
"FFCC151962";"2015-07-29";"PROV1585";"2015-06-20";"2015-08-01"
"FFCC151965";"2015-07-20";"PROV1465";"2015-05-29";"2015-07-23"
"FFCC151966";"2015-07-03";"PROV1014";"2015-06-12";"2015-07-06"
"FFCC152000";"2015-07-24";"PROV1443";"2015-06-13";"2015-07-27"
"FFCC152001";"2015-07-23";"PROV1650";"2015-07-06";"2015-07-26"
"FFCC152004";"2015-07-31";"PROV41001116";"2015-06-16";"2015-08-03"
"FFCC152041";"2015-07-27";"PROV40000235";"2015-07-05";"2015-07-30"
"FFCC152042";"2015-07-17";"PROV1397";"2015-07-09";"2015-07-20"
"FFCC152043";"2015-07-01";"PROV1733";"2015-06-04";"2015-07-04"
"FFCC152046";"2015-07-14";"PROV1485";"2015-06-21";"2015-07-17"
"FFCC152049";"2015-07-31";"PROV1475";"2015-06-22";"2015-08-03"
"FFCC152052";"2015-07-21";"PROV1014";"2015-07-01";"2015-07-24"
"FFCC152053";"2015-07-31";"PROV1558";"2015-06-28";"2015-08-03"
"FFCC152054";"2015-07-28";"PROV1061";"2015-06-22";"2015-07-31"
"FFCC152055";"2015-07-23";"PROV1756";"2015-05-29";"2015-07-26"
"FFCC152057";"2015-07-01";"PROV1657";"2015-06-01";"2015-07-04"
"FFCC152058";"2015-07-01";"PROV1485";"2015-05-18";"2015-07-04"
"FFCC152062";"2015-07-14";"PROV1485";"2015-06-26";"2015-07-17"
"FFCC152068";"2015-07-15";"PROV40000187";"2015-06-24";"2015-07-18"
"FFCC152069";"2015-07-24";"PROV40000520";"2015-06-30";"2015-07-27"
"FFCC152070";"2015-07-22";"PROV1170";"2015-06-12";"2015-07-25"
"FFCC152071";"2015-07-04";"PROV1734";"2015-06-01";"2015-07-07"
"FFCC152072";"2015-07-17";"PROV40000520";"2015-07-04";"2015-07-20"
"FFCC152073";"2015-07-03";"PROV1597";"2015-05-19";"2015-07-06"
"FFCC152119";"2015-07-29";"PROV1443";"2015-07-20";"2015-08-01"
"FFCC152120";"2015-07-23";"PROV1597";"2015-06-14";"2015-07-26"
"FFCC152121";"2015-07-20";"PROV1585";"2015-07-12";"2015-07-23"
"FFCC152123";"2015-07-24";"PROV1428";"2015-06-18";"2015-07-27"
"FFCC152124";"2015-07-23";"PROV1485";"2015-05-27";"2015-07-26"
"FFCC152126";"2015-07-30";"PROV1129";"2015-07-06";"2015-08-02"
"FFCC152129";"2015-07-25";"PROV1441";"2015-06-20";"2015-07-28"
"FFCC152130";"2015-07-31";"PROV41000980";"2015-06-25";"2015-08-03"
"FFCC152133";"2015-07-30";"PROV1572";"2015-06-29";"2015-08-02"
"FFCC152138";"2015-07-03";"PROV1397";"2015-05-27";"2015-07-06"
"FFCC152158";"2015-07-24";"PROV40000500";"2015-06-24";"2015-07-27"
"FFCC152163";"2015-07-31";"PROV40002065";"2015-06-21";"2015-08-03"
"FFCC152164";"2015-07-29";"PROV1484";"2015-06-28";"2015-08-01"
"FFCC152165";"2015-07-30";"PROV40000010";"2015-06-27";"2015-08-02"
"FFCC152166";"2015-07-31";"PROV40000520";"2015-07-21";"2015-08-03"
"FFCC152175";"2015-07-30";"PROV1061";"2015-07-04";"2015-08-02"
"FFCC152216";"2015-07-02";"PROV40002065";"2015-05-27";"2015-07-05"
"FFCC152217";"2015-07-03";"PROV40002720";"2015-05-14";"2015-07-06"
"FFCC152219";"2015-07-10";"PROV40000187";"2015-06-02";"2015-07-13"
"FFCC152220";"2015-07-31";"PROV1649";"2015-06-22";"2015-08-03"
"FFCC152233";"2015-08-01";"PROV1485";"2015-07-14";"2015-08-04"
"FFCC152235";"2015-08-01";"PROV1485";"2015-07-11";"2015-08-04"
"FFCC152238";"2015-08-01";"PROV1754";"2015-06-24";"2015-08-04"
"FFCC152241";"2015-08-01";"PROV1475";"2015-07-12";"2015-08-04"
"FFCC152244";"2015-08-01";"PROV1597";"2015-06-29";"2015-08-04"
"FFCC152247";"2015-08-01";"PROV1485";"2015-07-03";"2015-08-04"
"FFCC152249";"2015-08-01";"PROV1585";"2015-06-28";"2015-08-04"
"FFCC152252";"2015-08-10";"PROV1485";"2015-07-17";"2015-08-13"
"FFCC152255";"2015-08-01";"PROV1458";"2015-07-12";"2015-08-04"
"FFCC152258";"2015-08-01";"PROV1397";"2015-07-25";"2015-08-04"
"FFCC152260";"2015-08-07";"PROV1397";"2015-06-29";"2015-08-10"
"FFCC152261";"2015-08-07";"PROV1397";"2015-08-06";"2015-08-10"
"FFCC152263";"2015-08-01";"PROV1049";"2015-07-28";"2015-08-04"
"FFCC152271";"2015-08-01";"PROV40002220";"2015-06-21";"2015-08-04"
"FFCC152272";"2015-08-03";"PROV40001000";"2015-07-22";"2015-08-06"
"FFCC152273";"2015-08-24";"PROV40001000";"2015-08-10";"2015-08-27"
"FFCC152274";"2015-08-10";"PROV1129";"2015-06-21";"2015-08-13"
"FFCC152275";"2015-08-01";"PROV1734";"2015-07-12";"2015-08-04"
"FFCC152276";"2015-08-04";"PROV1650";"2015-07-17";"2015-08-07"
"FFCC152277";"2015-08-01";"PROV1647";"2015-06-28";"2015-08-04"
"FFCC152278";"2015-08-01";"PROV1428";"2015-07-17";"2015-08-04"
"FFCC152279";"2015-08-01";"PROV40002330";"2015-06-19";"2015-08-04"
"FFCC152293";"2015-08-20";"PROV1255";"2015-07-13";"2015-08-23"
"FFCC152294";"2015-08-17";"PROV1003";"2015-07-11";"2015-08-20"
"FFCC152297";"2015-08-18";"PROV40001825";"2015-08-03";"2015-08-21"
"FFCC152332";"2015-08-19";"PROV1398";"2015-08-08";"2015-08-22"
"FFCC152336";"2015-08-05";"PROV1585";"2015-07-23";"2015-08-08"
"FFCC152339";"2015-08-21";"PROV1061";"2015-08-04";"2015-08-24"
"FFCC152340";"2015-08-12";"PROV1834";"2015-07-21";"2015-08-15"
"FFCC152341";"2015-08-01";"PROV1585";"2015-06-13";"2015-08-04"
"FFCC152344";"2015-08-19";"PROV1647";"2015-07-20";"2015-08-22"
"FFCC152345";"2015-08-21";"PROV1647";"2015-07-18";"2015-08-24"
"FFCC152347";"2015-08-07";"PROV40000520";"2015-06-25";"2015-08-10"
"FFCC152352";"2015-08-21";"PROV1397";"2015-07-09";"2015-08-24"
"FFCC152353";"2015-08-14";"PROV40000520";"2015-06-23";"2015-08-17"
"FFCC152361";"2015-08-31";"PROV1558";"2015-08-26";"2015-09-03"
"FFCC152362";"2015-08-21";"PROV1485";"2015-08-10";"2015-08-24"
"FFCC152363";"2015-08-17";"PROV1485";"2015-08-05";"2015-08-20"
"FFCC152364";"2015-08-26";"PROV1485";"2015-07-22";"2015-08-29"
"FFCC152365";"2015-08-13";"PROV1485";"2015-07-30";"2015-08-16"
"FFCC152367";"2015-08-20";"PROV40000187";"2015-07-26";"2015-08-23"
"FFCC152368";"2015-08-10";"PROV40000187";"2015-07-11";"2015-08-13"
"FFCC152369";"2015-08-01";"PROV1475";"2015-07-13";"2015-08-04"
"FFCC152394";"2015-08-17";"PROV41000980";"2015-08-10";"2015-08-20"
"FFCC152400";"2015-08-31";"PROV41000980";"2015-07-13";"2015-09-03"
"FFCC152405";"2015-08-15";"PROV1170";"2015-07-04";"2015-08-18"
"FFCC152414";"2015-08-31";"PROV40002065";"2015-08-08";"2015-09-03"
"FFCC152431";"2015-08-20";"PROV1650";"2015-07-06";"2015-08-23"
"FFCC152435";"2015-08-21";"PROV1649";"2015-07-21";"2015-08-24"
"FFCC152442";"2015-08-31";"PROV40002120";"2015-08-18";"2015-09-03"
"FFCC152452";"2015-08-31";"PROV40000850";"2015-07-07";"2015-09-03"
"FFCC152476";"2015-08-31";"PROV40002330";"2015-08-15";"2015-09-03"
"FFCC152478";"2015-08-05";"PROV1441";"2015-07-07";"2015-08-08"
"FFCC152479";"2015-08-25";"PROV1441";"2015-07-26";"2015-08-28"
"FFCC152480";"2015-08-01";"PROV40000500";"2015-07-31";"2015-08-04"
"FFCC152481";"2015-08-21";"PROV40000500";"2015-07-04";"2015-08-24"
"FFCC152482";"2015-08-01";"PROV1597";"2015-06-07";"2015-08-04"
"FFCC152540";"2015-09-04";"PROV40000520";"2015-07-13";"2015-09-07"
"FFCC152541";"2015-09-14";"PROV40000235";"2015-08-12";"2015-09-17"
"FFCC152542";"2015-09-10";"PROV40001825";"2015-08-13";"2015-09-13"
"FFCC152543";"2015-09-09";"PROV1734";"2015-07-24";"2015-09-12"
"FFCC152544";"2015-09-04";"PROV40000500";"2015-08-21";"2015-09-07"
"FFCC152553";"2015-09-04";"PROV40000850";"2015-07-25";"2015-09-07"
"FFCC152554";"2015-09-01";"PROV40000500";"2015-08-11";"2015-09-04"
"FFCC152555";"2015-09-02";"PROV1014";"2015-07-28";"2015-09-05"
"FFCC152556";"2015-09-12";"PROV1129";"2015-08-14";"2015-09-15"
"FFCC152557";"2015-09-15";"PROV40001470";"2015-07-25";"2015-09-18"
"FFCC152591";"2015-09-07";"PROV1014";"2015-08-19";"2015-09-10"
"FFCC152592";"2015-09-18";"PROV40000500";"2015-09-04";"2015-09-21"
"FFCC152593";"2015-09-02";"PROV1027";"2015-08-22";"2015-09-05"
"FFCC152594";"2015-09-01";"PROV1585";"2015-08-14";"2015-09-04"
"FFCC152597";"2015-09-01";"PROV1428";"2015-07-10";"2015-09-04"
"FFCC152600";"2015-09-01";"PROV1485";"2015-07-19";"2015-09-04"
"FFCC152602";"2015-09-08";"PROV1061";"2015-08-29";"2015-09-11"
"FFCC152607";"2015-09-15";"PROV40002090";"2015-08-03";"2015-09-18"
"FFCC152608";"2015-09-17";"PROV1484";"2015-08-30";"2015-09-20"
"FFCC152609";"2015-09-02";"PROV1756";"2015-08-12";"2015-09-05"
"FFCC152610";"2015-09-01";"PROV1061";"2015-08-19";"2015-09-04"
"FFCC152611";"2015-09-16";"PROV1650";"2015-07-28";"2015-09-19"
"FFCC152612";"2015-09-01";"PROV1398";"2015-07-23";"2015-09-04"
"FFCC152615";"2015-09-25";"PROV1558";"2015-08-17";"2015-09-28"
"FFCC152616";"2015-09-08";"PROV1003";"2015-07-14";"2015-09-11"
"FFCC152617";"2015-09-05";"PROV1585";"2015-08-04";"2015-09-08"
"FFCC152635";"2015-09-02";"PROV40002330";"2015-08-19";"2015-09-05"
"FFCC152636";"2015-09-05";"PROV1216";"2015-08-04";"2015-09-08"
"FFCC152637";"2015-09-04";"PROV1216";"2015-07-22";"2015-09-07"
"FFCC152638";"2015-09-11";"PROV1397";"2015-08-15";"2015-09-14"
"FFCC152639";"2015-09-14";"PROV1014";"2015-08-08";"2015-09-17"
"FFCC152640";"2015-09-17";"PROV40001000";"2015-08-08";"2015-09-20"
"FFCC152641";"2015-09-18";"PROV1647";"2015-08-25";"2015-09-21"
"FFCC152643";"2015-09-10";"PROV1650";"2015-08-03";"2015-09-13"
"FFCC152644";"2015-09-01";"PROV1551";"2015-07-30";"2015-09-04"
"FFCC152647";"2015-09-01";"PROV40001000";"2015-08-06";"2015-09-04"
"FFCC152648";"2015-09-01";"PROV40001825";"2015-08-04";"2015-09-04"
"FFCC152649";"2015-09-01";"PROV40001000";"2015-08-03";"2015-09-04"
"FFCC152650";"2015-09-01";"PROV1397";"2015-08-19";"2015-09-04"
"FFCC152652";"2015-09-11";"PROV40000520";"2015-08-29";"2015-09-14"
"FFCC152684";"2015-09-15";"PROV40001000";"2015-08-20";"2015-09-18"
"FFCC152685";"2015-09-18";"PROV1014";"2015-07-31";"2015-09-21"
"FFCC152686";"2015-09-15";"PROV1014";"2015-09-03";"2015-09-18"
"FFCC152687";"2015-09-02";"PROV40002220";"2015-08-24";"2015-09-05"
"FFCC152688";"2015-09-20";"PROV1465";"2015-08-20";"2015-09-23"
"FFCC152690";"2015-09-01";"PROV1733";"2015-08-12";"2015-09-04"
"FFCC152694";"2015-09-24";"PROV40000850";"2015-08-15";"2015-09-27"
"FFCC152696";"2015-09-01";"PROV1475";"2015-07-18";"2015-09-04"
"FFCC152699";"2015-09-10";"PROV1485";"2015-08-30";"2015-09-13"
"FFCC152700";"2015-09-17";"PROV1428";"2015-08-31";"2015-09-20"
"FFCC152703";"2015-09-29";"PROV1003";"2015-09-14";"2015-10-02"
"FFCC152736";"2015-09-10";"PROV1485";"2015-08-16";"2015-09-13"
"FFCC152739";"2015-09-01";"PROV1485";"2015-07-29";"2015-09-04"
"FFCC152742";"2015-09-01";"PROV1597";"2015-07-16";"2015-09-04"
"FFCC152745";"2015-09-18";"PROV40000520";"2015-07-24";"2015-09-21"
"FFCC152746";"2015-09-25";"PROV40002720";"2015-09-08";"2015-09-28"
"FFCC152747";"2015-09-25";"PROV40000500";"2015-08-07";"2015-09-28"
"FFCC152748";"2015-09-02";"PROV1441";"2015-07-14";"2015-09-05"
"FFCC152749";"2015-09-14";"PROV40001825";"2015-07-27";"2015-09-17"
"FFCC152752";"2015-09-25";"PROV1061";"2015-08-02";"2015-09-28"
"FFCC152754";"2015-09-12";"PROV40002330";"2015-08-17";"2015-09-15"
"FFCC152765";"2015-09-30";"PROV1129";"2015-08-16";"2015-10-03"
"FFCC152767";"2015-09-05";"PROV1649";"2015-08-01";"2015-09-08"
"FFCC152768";"2015-09-03";"PROV1649";"2015-08-04";"2015-09-06"
"FFCC152769";"2015-09-28";"PROV1485";"2015-08-13";"2015-10-01"
"FFCC152770";"2015-09-15";"PROV40000187";"2015-08-16";"2015-09-18"
"FFCC152771";"2015-09-15";"PROV40000187";"2015-08-22";"2015-09-18"
"FFCC152772";"2015-09-15";"PROV40000187";"2015-08-06";"2015-09-18"
"FFCC152773";"2015-09-03";"PROV40001600";"2015-08-06";"2015-09-06"
"FFCC152774";"2015-09-23";"PROV1014";"2015-08-08";"2015-09-26"
"FFCC152775";"2015-09-30";"PROV1170";"2015-09-09";"2015-10-03"
"FFCC152776";"2015-09-30";"PROV40002220";"2015-08-24";"2015-10-03"
"FFCC152777";"2015-09-25";"PROV1441";"2015-08-10";"2015-09-28"
"FFCC152778";"2015-09-30";"PROV40002065";"2015-08-23";"2015-10-03"
"FFCC152779";"2015-09-03";"PROV40002065";"2015-07-31";"2015-09-06"
"FFCC152780";"2015-09-03";"PROV1441";"2015-08-03";"2015-09-06"
"FFCC152791";"2015-09-30";"PROV40000187";"2015-08-31";"2015-10-03"
"FFCC152805";"2015-09-22";"PROV40001825";"2015-08-24";"2015-09-25"
"FFCC152808";"2015-09-25";"PROV40000520";"2015-08-28";"2015-09-28"
"FFCC152809";"2015-09-30";"PROV40000520";"2015-08-18";"2015-10-03"
"FFCC152811";"2015-09-21";"PROV1597";"2015-08-29";"2015-09-24"
"FFCC152884";"2015-10-15";"PROV40001470";"2015-09-08";"2015-10-18"
"FFCC152885";"2015-10-19";"PROV1443";"2015-08-24";"2015-10-22"
"FFCC152886";"2015-10-15";"PROV1129";"2015-08-25";"2015-10-18"
"FFCC152887";"2015-10-19";"PROV40000235";"2015-10-08";"2015-10-22"
"FFCC152888";"2015-10-08";"PROV40002330";"2015-09-27";"2015-10-11"
"FFCC152889";"2015-10-12";"PROV40001000";"2015-10-03";"2015-10-15"
"FFCC152890";"2015-10-12";"PROV1014";"2015-09-13";"2015-10-15"
"FFCC152891";"2015-10-09";"PROV40000520";"2015-09-10";"2015-10-12"
"FFCC152892";"2015-10-12";"PROV1061";"2015-08-30";"2015-10-15"
"FFCC152893";"2015-10-01";"PROV1397";"2015-09-02";"2015-10-04"
"FFCC152895";"2015-10-01";"PROV1756";"2015-09-17";"2015-10-04"
"FFCC152896";"2015-10-01";"PROV1834";"2015-09-04";"2015-10-04"
"FFCC152899";"2015-10-09";"PROV1414";"2015-09-13";"2015-10-12"
"FFCC152900";"2015-10-01";"PROV40001600";"2015-08-14";"2015-10-04"
"FFCC152901";"2015-10-01";"PROV1458";"2015-09-10";"2015-10-04"
"FFCC152904";"2015-10-01";"PROV1485";"2015-08-23";"2015-10-04"
"FFCC152907";"2015-10-01";"PROV1014";"2015-08-26";"2015-10-04"
"FFCC152908";"2015-10-01";"PROV1597";"2015-09-09";"2015-10-04"
"FFCC152911";"2015-10-09";"PROV1014";"2015-08-20";"2015-10-12"
"FFCC152912";"2015-10-08";"PROV1027";"2015-09-12";"2015-10-11"
"FFCC152913";"2015-10-09";"PROV40000500";"2015-08-22";"2015-10-12"
"FFCC152941";"2015-10-17";"PROV40000850";"2015-08-28";"2015-10-20"
"FFCC152943";"2015-10-15";"PROV40000200";"2015-08-29";"2015-10-18"
"FFCC152953";"2015-10-05";"PROV40002220";"2015-09-25";"2015-10-08"
"FFCC152957";"2015-10-01";"PROV1585";"2015-09-25";"2015-10-04"
"FFCC152983";"2015-10-15";"PROV1650";"2015-08-26";"2015-10-18"
"FFCC152984";"2015-10-01";"PROV1734";"2015-09-05";"2015-10-04"
"FFCC152985";"2015-10-17";"PROV1734";"2015-10-07";"2015-10-20"
"FFCC152986";"2015-10-01";"PROV41000980";"2015-09-06";"2015-10-04"
"FFCC152988";"2015-10-20";"PROV1061";"2015-09-26";"2015-10-23"
"FFCC152989";"2015-10-01";"PROV1475";"2015-09-16";"2015-10-04"
"FFCC152994";"2015-10-01";"PROV1398";"2015-09-09";"2015-10-04"
"FFCC152998";"2015-10-01";"PROV1597";"2015-09-20";"2015-10-04"
"FFCC153001";"2015-10-16";"PROV1428";"2015-10-08";"2015-10-19"
"FFCC153004";"2015-10-10";"PROV1465";"2015-09-25";"2015-10-13"
"FFCC153007";"2015-10-27";"PROV1003";"2015-10-23";"2015-10-30"
"FFCC153008";"2015-10-16";"PROV40000520";"2015-08-30";"2015-10-19"
"FFCC153015";"2015-10-21";"PROV1441";"2015-08-27";"2015-10-24"
"FFCC153029";"2015-10-15";"PROV40000187";"2015-09-10";"2015-10-18"
"FFCC153030";"2015-10-01";"PROV1398";"2015-08-19";"2015-10-04"
"FFCC153034";"2015-10-25";"PROV40002720";"2015-09-21";"2015-10-28"
"FFCC153036";"2015-10-16";"PROV1397";"2015-09-09";"2015-10-19"
"FFCC153039";"2015-10-24";"PROV40002330";"2015-09-21";"2015-10-27"
"FFCC153040";"2015-10-23";"PROV40000520";"2015-10-03";"2015-10-26"
"FFCC153065";"2015-10-01";"PROV1485";"2015-09-15";"2015-10-04"
"FFCC153067";"2015-10-01";"PROV1485";"2015-09-02";"2015-10-04"
"FFCC153068";"2015-10-01";"PROV1485";"2015-09-03";"2015-10-04"
"FFCC153069";"2015-10-27";"PROV1061";"2015-09-30";"2015-10-30"
"FFCC153070";"2015-10-26";"PROV1061";"2015-09-21";"2015-10-29"
"FFCC153071";"2015-10-01";"PROV1397";"2015-09-10";"2015-10-04"
"FFCC153073";"2015-10-10";"PROV40000187";"2015-09-14";"2015-10-13"
"FFCC153074";"2015-10-16";"PROV1014";"2015-09-15";"2015-10-19"
"FFCC153075";"2015-10-01";"PROV1585";"2015-08-15";"2015-10-04"
"FFCC153078";"2015-10-01";"PROV40000187";"2015-08-19";"2015-10-04"
"FFCC153079";"2015-10-01";"PROV40002065";"2015-08-21";"2015-10-04"
"FFCC153080";"2015-10-09";"PROV1441";"2015-09-03";"2015-10-12"
"FFCC153083";"2015-10-15";"PROV1649";"2015-09-17";"2015-10-18"
"FFCC153084";"2015-10-23";"PROV1650";"2015-09-10";"2015-10-26"
"FFCC153085";"2015-10-22";"PROV1397";"2015-09-16";"2015-10-25"
"FFCC153086";"2015-10-22";"PROV1014";"2015-09-27";"2015-10-25"
"FFCC153090";"2015-10-31";"PROV40000187";"2015-10-18";"2015-11-03"
"FFCC153096";"2015-10-25";"PROV40000187";"2015-09-04";"2015-10-28"
"FFCC153130";"2015-10-31";"PROV40002065";"2015-10-23";"2015-11-03"
"FFCC153131";"2015-10-08";"PROV1597";"2015-08-28";"2015-10-11"
"FFCC153145";"2015-10-31";"PROV1781";"2015-10-11";"2015-11-03"
"FFCC153150";"2015-10-05";"PROV1502";"2015-08-26";"2015-10-08"
"FFCC153152";"2015-10-30";"PROV40000520";"2015-10-16";"2015-11-02"
"FFCC153153";"2015-10-23";"PROV40001825";"2015-08-29";"2015-10-26"
"FFCC153154";"2015-10-26";"PROV40001825";"2015-09-12";"2015-10-29"
"FFCC153156";"2015-10-08";"PROV1485";"2015-09-20";"2015-10-11"
"FFCC153164";"2015-10-30";"PROV40002220";"2015-09-08";"2015-11-02"
"FFCC153170";"2015-10-01";"PROV1834";"2015-08-12";"2015-10-04"
"FFCC153179";"2015-10-22";"PROV40002220";"2015-08-27";"2015-10-25"
"FFCC153180";"2015-10-01";"PROV1834";"2015-09-21";"2015-10-04"
"FFCC153229";"2015-11-06";"PROV40002330";"2015-10-12";"2015-11-09"
"FFCC153230";"2015-11-02";"PROV1014";"2015-09-06";"2015-11-05"
"FFCC153231";"2015-11-06";"PROV1014";"2015-10-14";"2015-11-09"
"FFCC153232";"2015-11-04";"PROV1650";"2015-10-04";"2015-11-07"
"FFCC153233";"2015-11-01";"PROV1397";"2015-10-21";"2015-11-04"
"FFCC153237";"2015-11-15";"PROV1129";"2015-09-20";"2015-11-18"
"FFCC153238";"2015-11-09";"PROV1484";"2015-10-11";"2015-11-12"
"FFCC153239";"2015-11-04";"PROV1756";"2015-10-15";"2015-11-07"
"FFCC153240";"2015-11-01";"PROV1597";"2015-10-05";"2015-11-04"
"FFCC153243";"2015-11-03";"PROV40001000";"2015-10-16";"2015-11-06"
"FFCC153244";"2015-11-01";"PROV1441";"2015-09-17";"2015-11-04"
"FFCC153245";"2015-11-05";"PROV1465";"2015-10-01";"2015-11-08"
"FFCC153246";"2015-11-01";"PROV40000500";"2015-09-12";"2015-11-04"
"FFCC153247";"2015-11-05";"PROV1428";"2015-10-22";"2015-11-08"
"FFCC153250";"2015-11-01";"PROV40002330";"2015-09-17";"2015-11-04"
"FFCC153251";"2015-11-16";"PROV40000235";"2015-10-18";"2015-11-19"
"FFCC153266";"2015-11-01";"PROV1551";"2015-09-23";"2015-11-04"
"FFCC153269";"2015-11-10";"PROV40001825";"2015-09-18";"2015-11-13"
"FFCC153270";"2015-11-15";"PROV1170";"2015-10-17";"2015-11-18"
"FFCC153271";"2015-11-06";"PROV1398";"2015-10-02";"2015-11-09"
"FFCC153306";"2015-11-02";"PROV1834";"2015-10-19";"2015-11-05"
"FFCC153309";"2015-11-12";"PROV1597";"2015-11-05";"2015-11-15"
"FFCC153312";"2015-11-11";"PROV1441";"2015-10-31";"2015-11-14"
"FFCC153313";"2015-11-10";"PROV1585";"2015-09-21";"2015-11-13"
"FFCC153316";"2015-11-15";"PROV40002090";"2015-10-25";"2015-11-18"
"FFCC153317";"2015-11-11";"PROV1003";"2015-10-12";"2015-11-14"
"FFCC153318";"2015-11-11";"PROV1061";"2015-10-02";"2015-11-14"
"FFCC153320";"2015-11-02";"PROV1585";"2015-10-02";"2015-11-05"
"FFCC153321";"2015-11-03";"PROV40002065";"2015-09-13";"2015-11-06"
"FFCC153322";"2015-11-13";"PROV40002220";"2015-11-02";"2015-11-16"
"FFCC153323";"2015-11-07";"PROV40000850";"2015-10-20";"2015-11-10"
"FFCC153324";"2015-11-01";"PROV1585";"2015-09-18";"2015-11-04"
"FFCC153325";"2015-11-06";"PROV1876";"2015-10-06";"2015-11-09"
"FFCC153326";"2015-11-11";"PROV1876";"2015-09-26";"2015-11-14"
"FFCC153330";"2015-11-14";"PROV1734";"2015-09-25";"2015-11-17"
"FFCC153336";"2015-11-17";"PROV1649";"2015-09-25";"2015-11-20"
"FFCC153337";"2015-11-05";"PROV1649";"2015-09-16";"2015-11-08"
"FFCC153338";"2015-11-10";"PROV40001000";"2015-09-26";"2015-11-13"
"FFCC153339";"2015-11-21";"PROV40000850";"2015-11-09";"2015-11-24"
"FFCC153340";"2015-11-24";"PROV1027";"2015-10-19";"2015-11-27"
"FFCC153341";"2015-11-25";"PROV40002720";"2015-10-30";"2015-11-28"
